,Title,location,Posting_date,job_link
160,Software Development Engineer II - AMZ2311,"US, CA, Cupertino ","February 23, 2018",https://www.amazon.jobs/en/jobs/626661/software-development-engineer-ii-amz2311
161,Software Development Engineer II - AMZ2250,"US, MA, North Reading ","February 23, 2018",https://www.amazon.jobs/en/jobs/626659/software-development-engineer-ii-amz2250
162,Software Development Manager,"CA, BC, Vancouver ","February 23, 2018",https://www.amazon.jobs/en/jobs/626648/software-development-manager
163,Software Development Engineer,"US, MA, North Reading ","February 23, 2018",https://www.amazon.jobs/en/jobs/626604/software-development-engineer
164,Software Development Engineer II,"IN, TS, Hyderabad ","February 22, 2018",https://www.amazon.jobs/en/jobs/626457/software-development-engineer-ii
165,"Full Stack Engineer, Search Analytics Tools","US, CA, Palo Alto ","February 22, 2018",https://www.amazon.jobs/en/jobs/626351/full-stack-engineer-search-analytics-tools
166,Software Development Engineer Intern - CloudTune team,"RO, Iasi ","February 22, 2018",https://www.amazon.jobs/en/jobs/626340/software-development-engineer-intern-cloudtune-team
167,Software Developer Engineer - CloudTune FRAM Team,"RO, Iasi ","February 22, 2018",https://www.amazon.jobs/en/jobs/626336/software-developer-engineer-cloudtune-fram-team
168,"Senior Software Development Manager, AWS","US, CA, Cupertino ","February 22, 2018",https://www.amazon.jobs/en/jobs/626324/senior-software-development-manager-aws
169,Software Development Engineer ||,"IN, KA, Bangalore ","February 22, 2018",https://www.amazon.jobs/en/jobs/626304/software-development-engineer
170,Knowledge Engineer,"US, CA, Santa Barbara ","February 22, 2018",https://www.amazon.jobs/en/jobs/626291/knowledge-engineer
171,Software Development Engineer - Amazon Alexa,"US, CA, Santa Barbara ","February 22, 2018",https://www.amazon.jobs/en/jobs/626290/software-development-engineer-amazon-alexa
172,Software Development Engineer - Amazon Alexa,"US, CA, Santa Barbara ","February 22, 2018",https://www.amazon.jobs/en/jobs/626289/software-development-engineer-amazon-alexa
173,Software Development Engineer - Cloud Services,"US, CA, Cupertino ","February 22, 2018",https://www.amazon.jobs/en/jobs/626288/software-development-engineer-cloud-services
174,Sr. Data Scientist - Treasure Truck,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626254/sr-data-scientist-treasure-truck
175,Software Development Engineer,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626245/software-development-engineer
176,Software Development Engineer II,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626242/software-development-engineer-ii
177,Software Development Engineer II - iOS,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626224/software-development-engineer-ii-ios
178,"Manager, Software Development","IN, TS, Hyderabad ","February 22, 2018",https://www.amazon.jobs/en/jobs/626223/manager-software-development
179,"SDE II, AWS PINPOINT","US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626219/sde-ii-aws-pinpoint
180,"Senior Software Development Engineer-Robotics Management, Framework, and Services","US, MA, North Reading ","February 22, 2018",https://www.amazon.jobs/en/jobs/626216/senior-software-development-engineer-robotics-management-framework-and-services
181,Software Development Engineer II - AWS Mobile SDK,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626208/software-development-engineer-ii-aws-mobile-sdk
182,Software Development Engineer,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626186/software-development-engineer
183,Software Development Engineer,"CA, BC, Vancouver ","February 22, 2018",https://www.amazon.jobs/en/jobs/626163/software-development-engineer
184,Software Development Engineer,"US, TX, Austin ","February 22, 2018",https://www.amazon.jobs/en/jobs/626161/software-development-engineer
185,"Web Development Engineer, AWS Learning Platform","US, OR, Portland ","February 22, 2018",https://www.amazon.jobs/en/jobs/626160/web-development-engineer-aws-learning-platform
186,Software Development Manager,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626159/software-development-manager
187,Software Development Engineer II - Android,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626154/software-development-engineer-ii-android
188,Senior Software Development Engineer Recruiting Event in Calgary with Relocation to Seattle,"US, WA, Seattle ","February 22, 2018",https://www.amazon.jobs/en/jobs/626145/senior-software-development-engineer-recruiting-event-in-calgary-with-relocation-to-seattle
